close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25
2017-08-14,4261.48,4485.39,3850.0,4086.29,2843.431426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,4069.13,4453.91,3400.0,4310.01,4599.396629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,4310.01,4939.19,4124.54,4509.08,4753.843376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04,4505.0,4788.59,3603.0,4130.37,6382.787745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11,4153.62,4394.59,2817.0,3699.99,8106.705127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18,3690.0,4123.2,3505.55,3660.02,5908.32335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-25,3660.02,4406.52,3653.69,4378.48,5782.305424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,4400.0,4658.0,4110.0,4640.0,4708.272956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,4640.0,5922.3,4550.0,5709.99,7913.925837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,5710.0,6171.0,5037.95,5950.02,12157.769447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23,5975.0,6189.88,5286.98,6169.98,13133.99457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,6133.01,7590.25,6030.0,7345.01,11663.209648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-06,7345.1,7770.02,5325.01,5811.03,18916.3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,5839.94,8123.15,5699.99,8038.0,19791.101011,98.9715,0.0,98.1783,0.0,97.3294,0.0,96.4185,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,8057.11,9350.0,7801.0,9128.02,28921.859792,99.1814,0.0,98.5519,0.0,97.8798,0.0,97.1606,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-27,9128.0,11825.0,8520.0,11165.41,48427.94965,99.3392,0.0,98.8312,0.0,98.2887,0.0,97.7084,0.0,100.0,0.0,99.8369,0.0,99.337,0.0,98.8052,0.0,,,,,,,,,,,,,,,,
2017-12-04,11165.41,17204.99,10802.0,14899.98,72469.977627,99.5285,0.0,99.1672,0.0,98.7825,0.0,98.3721,0.0,100.0,0.0,99.8791,0.0,99.5086,0.0,99.1146,0.0,,,,,,,,,,,,,,,,
2017-12-11,14946.26,19798.68,14666.56,18860.02,67851.486215,99.6652,0.0,99.4086,0.0,99.1356,0.0,98.8444,0.0,100.0,0.0,99.912,0.0,99.6421,0.0,99.3549,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,
2017-12-18,18860.04,19300.0,10961.0,13500.0,135385.440322,99.651,0.0,99.3775,0.0,99.0806,0.0,98.757,0.0,100.0,0.0,99.9122,0.0,99.6402,0.0,99.3462,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,
2017-12-25,13500.0,16498.05,11750.0,13716.36,116522.754321,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.909,0.0,99.624,0.0,99.3105,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2018-01-01,13715.65,17176.24,12750.0,16150.03,120239.399359,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2018-01-08,16218.85,16322.3,11400.0,13474.99,137537.904565,98.2614,0.0,97.515,0.0,96.6891,0.0,95.7703,0.0,99.7892,0.0,99.132,0.0,98.4133,0.0,97.6242,0.0,100.0,0.0,100.0,0.0,99.6733,0.0,98.9744,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.8007,0.0
2018-01-15,13477.98,14249.99,9035.0,11530.0,303127.502137,87.7909,6.6046,85.9156,5.7918,83.8791,5.0463,81.66,4.3599,92.5723,4.2619,91.0834,3.6617,89.481,3.1065,87.7518,2.5914,94.7662,2.7046,93.989,2.1861,92.854,1.7035,91.3372,1.2532,96.198,1.5591,95.5179,1.0934,94.7774,0.6583,93.8024,0.2507
2018-01-22,11530.0,12244.0,9900.24,11879.95,198030.051117,75.8312,12.9972,72.399,11.0215,68.7446,9.1978,64.8455,7.5091,86.6841,7.1988,84.3556,5.9785,81.8839,4.842,79.2552,3.7812,91.0777,4.2256,89.666,3.2426,87.8728,2.3216,85.6937,1.4569,93.7007,2.1333,92.4652,1.2502,91.1343,0.7014,89.5423,0.2662
2018-01-29,11879.95,11975.02,7930.0,8184.81,202016.407759,34.3442,46.9937,29.5001,42.7236,24.5898,38.6722,19.6119,34.8232,64.7911,23.8558,61.3653,21.4092,57.8337,19.0887,54.1912,16.8846,76.3867,15.5649,74.0745,13.8074,71.4761,12.1366,68.623,10.5463,82.0152,11.2167,80.0849,9.7285,78.0426,8.5487,75.7845,7.5017
2018-02-05,8179.99,9065.78,6000.01,8063.88,340794.292131,22.8882,63.6334,19.9475,59.8364,17.1284,56.0085,14.4235,52.1494,33.6438,49.2508,29.4657,45.235,25.3309,41.3253,21.2389,37.5175,59.928,28.2125,56.6842,25.4983,53.292,22.8744,49.8198,20.3363,71.1951,19.5698,68.6596,17.4639,66.0223,15.6403,63.2295,13.9593
2018-02-12,8063.82,11274.0,8053.0,10383.43,311863.068137,18.0196,71.5469,16.1036,67.5514,14.3489,63.4903,12.7359,59.3622,26.504,57.1297,23.1372,52.7729,19.9612,48.3838,16.9602,44.0789,38.733,43.3178,34.131,38.9418,29.6858,34.7569,25.5268,30.7967,62.2098,24.8304,58.7908,21.8421,55.2953,19.4405,51.7136,17.2425
2018-02-19,10375.01,11786.01,9274.8,9590.0,350623.132911,0.0,98.2407,0.0,95.0822,0.0,91.6549,0.0,87.9231,19.0158,67.9846,16.8978,63.964,14.9832,59.462,13.244,54.7997,29.4443,53.3128,25.4794,48.6193,21.9163,43.8263,18.8277,39.0405,41.6352,40.0082,37.1241,35.4028,32.6435,31.266,28.3133,27.398
2018-02-26,9590.0,11565.0,9350.0,11515.0,183970.997614,6.0355,88.9972,5.1239,86.1855,4.3012,83.1309,3.555,79.8006,5.226,84.572,4.1907,80.9845,3.281,76.3296,2.4752,71.3708,25.3053,57.9835,21.5878,53.2754,18.3565,48.3428,15.6638,43.3251,36.4463,44.5796,31.915,39.6624,27.4639,35.1123,23.2496,30.8276
2018-03-05,11515.0,11710.0,8329.0,9533.57,282035.225382,6.4547,88.2301,5.4794,85.2519,4.5993,82.0299,3.8012,78.5328,4.8127,90.1441,3.8986,88.1705,3.0798,84.9833,2.3422,81.4167,5.8602,82.0677,3.5265,78.1095,1.9349,73.2232,1.0247,67.6589,26.8404,55.4928,23.0462,50.3251,19.46,45.0205,16.2601,39.795
2018-03-12,9533.57,9888.88,7322.0,8189.99,315835.151606,6.0936,89.3257,5.2126,86.7579,4.406,84.0368,3.6647,81.1483,4.6901,90.6395,3.8173,88.8617,3.0285,85.9776,2.312,82.806,3.5297,91.142,2.5602,89.2714,1.6909,86.4646,0.907,82.9002,6.7832,81.2203,4.5066,77.0167,2.4394,71.3783,0.8441,65.4102
2018-03-19,8189.0,9177.01,8088.4,8470.15,285211.539511,7.795,85.8893,6.6257,82.4721,5.568,78.8411,4.6066,74.9758,4.592,91.0649,3.7555,89.4552,2.9925,86.8294,2.2937,83.9894,3.5254,91.3595,2.5683,89.6198,1.7029,87.0194,0.9166,83.7572,3.1775,91.6929,2.2792,89.5274,1.4825,85.3899,0.771,80.6643
