date,open,high,low,close,volume,pct_change,ema12,ema20,ema26,az_bullish,adx14,di_plus,di_minus,big_swing_high,big_swing_low,big_pivot_label,big_break,small_swing_high,small_swing_low,small_pivot_label,small_break,structure_action,a_liquidate_price,a_pct_liquidate,a_leverage,a_position_size,a_notional,a_total,a_pnl,a_pct_pnl,a_margin,a_position,a_unrealized,a_realized,a_action,b_liquidate_price,b_pct_liquidate,b_leverage,b_position_size,b_notional,b_total,b_pnl,b_pct_pnl,b_margin,b_position,b_unrealized,b_realized,b_action
2022-07-10,1217.02,1219.95,1153.0,1168.36,1018038.65,-4.0,1171.72,1196.19,1236.73,False,34.45,18.0,24.69,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-11,1168.37,1171.29,1091.71,1096.4,1201652.3,-6.16,1160.13,1186.69,1226.34,False,33.72,16.93,27.8,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-12,1096.37,1098.26,1033.46,1038.58,1261349.63,-5.27,1141.43,1172.58,1212.43,False,33.56,16.09,30.88,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-13,1038.58,1119.18,1006.32,1115.0,2035605.83,7.36,1137.36,1167.1,1205.21,False,33.63,14.73,30.3,,,,,,1006.32,HL,,SMALL LH confirmed @ 1276.46,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-14,1115.01,1214.65,1072.11,1193.42,1605101.93,7.03,1145.99,1169.61,1204.34,False,32.29,20.14,27.16,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-15,1193.42,1287.82,1181.05,1231.25,1466037.26,3.17,1159.1,1175.48,1206.33,False,30.16,23.87,25.06,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-16,1231.25,1422.91,1191.23,1355.85,1493809.92,10.12,1189.37,1192.66,1217.41,False,29.12,29.13,21.23,,,,,,,,BULL_CHOCH,SMALL BULL CHOCH @ 1355.85 (level 1276.46),677.92,-50.0,1.0,1.475089,2000.0,2000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,"ENTRY @ 1355.85 (small green CHoCH, margin $1000.00 [50% of bank] @ 2x [ADX 29.1, zone red], 1.475089 units)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-17,1355.84,1387.0,1319.04,1338.65,1246202.88,-1.27,1212.34,1206.56,1226.39,False,28.16,27.79,20.26,,,,,,,,,,677.92,-49.36,1.0,1.475089,1974.63,1974.63,-25.37,-1.27,974.63,987.31,-12.69,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-18,1338.65,1597.47,1336.07,1581.04,2029918.77,18.11,1269.06,1242.22,1252.66,True,28.73,36.24,17.01,,,,,,,,,SMALL HL confirmed @ 1006.32,677.92,-57.12,1.0,1.475089,2332.18,2332.18,357.55,18.11,1332.18,1166.09,166.09,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-19,1581.03,1631.0,1493.11,1542.32,1846048.68,-2.45,1311.1,1270.81,1274.12,True,29.44,35.24,15.59,,,,,,,,,,677.92,-56.05,1.0,1.475089,2275.06,2275.06,-57.12,-2.45,1275.06,1137.53,137.53,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
